t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
1.764,TAKEOFF,-2.1255302975024333,59.98719266603191,0,10.388,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023946551606059074,0.00274487747810781,-0.008592191152274609,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.796,TAKEOFF,-2.1255303546491935,59.98740490902204,0,10.42,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.023977044969797134,0.002642459236085415,-0.008652862161397934,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.8319999999999999,TAKEOFF,-2.1255304113096343,59.98807236370996,0,10.456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02334005758166313,0.002775813452899456,-0.009181640110909939,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.8639999999999999,TAKEOFF,-2.1255304747599264,59.9879605523902,0,10.488,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02281489223241806,0.0028847951907664537,-0.009836213663220406,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.896,TAKEOFF,-2.1255305238614173,59.987976688515495,0,10.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.022273598238825798,0.002980942605063319,-0.010595202445983887,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.932,TAKEOFF,-2.125530593671025,59.98779091620675,0,10.556000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02191809192299843,0.0030245520174503326,-0.010973038151860237,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.964,TAKEOFF,-2.1255306419590796,59.9877187475614,0,10.588,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021634763106703758,0.0030445228330790997,-0.011293591000139713,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
1.996,TAKEOFF,-2.125530703746398,59.98766863791414,0,10.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021401554346084595,0.0030413963831961155,-0.011572705581784248,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.032,TAKEOFF,-2.125530758298257,59.98762149019914,0,10.656,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02121550403535366,0.003006954211741686,-0.011808576993644238,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.064,TAKEOFF,-2.125530819092546,59.98755012627717,0,10.688,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021100828424096107,0.0029460664372891188,-0.01199594046920538,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.096,TAKEOFF,-2.12553086587327,59.987500191139894,0,10.72,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021036099642515182,0.0028408123180270195,-0.012104427441954613,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.132,TAKEOFF,-2.12553092552853,59.987417759844014,0,10.756,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.02105380967259407,0.0027318524662405252,-0.01213767845183611,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.164,TAKEOFF,-2.125530978051599,59.98736926905424,0,10.788,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021120021119713783,0.002591376658529043,-0.012150577269494534,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.196,TAKEOFF,-2.125531036354679,59.98754002344768,0,10.82,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.021015476435422897,0.002512020291760564,-0.012381169945001602,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.232,TAKEOFF,-2.1255310876321083,59.988142001419554,0,10.856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.020308928564190865,0.0026591105852276087,-0.013269531540572643,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.2640000000000002,TAKEOFF,-2.1255311381510307,59.98803324820628,0,10.888,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.019711142405867577,0.002787788165733218,-0.014053535647690296,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.296,TAKEOFF,-2.125531194321538,59.98794114730471,0,10.92,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01920546591281891,0.0029011566657572985,-0.01474902406334877,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.332,TAKEOFF,-2.1255312434085605,59.98794587183536,0,10.956,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01869507133960724,0.003010150510817766,-0.015527783893048763,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.364,TAKEOFF,-2.1255312977507868,59.98775548255456,0,10.988,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.018375080078840256,0.0030642764177173376,-0.016080934554338455,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.396,TAKEOFF,-2.125531339384436,59.98768761487726,0,11.02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.018122965469956398,0.003089492442086339,-0.016587436199188232,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.432,TAKEOFF,-2.1255313976656947,59.98763270871069,0,11.056,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.017925767228007317,0.003091683378443122,-0.016986988484859467,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.464,TAKEOFF,-2.1255314320779077,59.987577965818744,0,11.088,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01778331771492958,0.003081733826547861,-0.017280660569667816,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.496,TAKEOFF,-2.1255314826282996,59.98753046767174,0,11.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01768837496638298,0.0030539599247276783,-0.01754855178296566,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.532,TAKEOFF,-2.1255315320029555,59.987497597605774,0,11.156,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.017626311630010605,0.0030022566206753254,-0.017851410433650017,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.564,TAKEOFF,-2.1255315748804264,59.98743383654745,0,11.188,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01762801595032215,0.002941055689007044,-0.01802068017423153,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.596,TAKEOFF,-2.12553161669897,59.98782036747724,0,11.22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.01724320277571678,0.0028205474372953176,-0.01787099614739418,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.632,TAKEOFF,-2.12553166253543,59.988948969089805,0,11.256,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.015729814767837524,0.002551398938521743,-0.016820650547742844,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.664,TAKEOFF,-2.1255317020777222,59.98880429587858,0,11.288,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.014361105859279633,0.002275473438203335,-0.01582806371152401,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.6959999999999997,TAKEOFF,-2.125531740541797,59.988662894801465,0,11.32,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.013133804313838482,0.0019895443692803383,-0.014845496043562889,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.732,TAKEOFF,-2.1255317822956425,59.98884684614882,0,11.356,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.011722567491233349,0.0016285516321659088,-0.01373534370213747,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.7640000000000002,TAKEOFF,-2.12553181819195,59.988471281373144,0,11.388,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.010686889290809631,0.0013421359471976757,-0.012944544665515423,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.7960000000000003,TAKEOFF,-2.1255318569330157,59.98837720014625,0,11.42,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.009745297022163868,0.0010577081702649593,-0.012216396629810333,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.832,TAKEOFF,-2.125531889995339,59.9882952671541,0,11.456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0088856415823102,0.0007764715701341629,-0.011560536921024323,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.864,TAKEOFF,-2.125531921588953,59.98822109603409,0,11.488,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.008100161328911781,0.0004958733916282654,-0.010964689776301384,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.896,TAKEOFF,-2.1255319517610287,59.98816024795984,0,11.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.007375530898571014,0.00023106878506951034,-0.010424282401800156,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.932,TAKEOFF,-2.1255319838110607,59.98824331564197,0,11.556000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.006567846518009901,-9.915418922901154e-05,-0.009844796732068062,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.964,TAKEOFF,-2.1255320106297706,59.98799686564148,0,11.588,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.006006608251482248,-0.0003766268491744995,-0.0094507010653615,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
2.996,TAKEOFF,-2.1255320357386167,59.98787041629383,0,11.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005571778863668442,-0.00034121022326871753,-0.0089860949665308,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.032,TAKEOFF,-2.1255320646805838,59.98760718758326,0,11.656,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005400070920586586,0.0005452877376228571,-0.00821714662015438,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.064,TAKEOFF,-2.1255320832868083,59.987564645868346,0,11.688,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005270916037261486,0.0013628368033096194,-0.007538510486483574,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.096,TAKEOFF,-2.12553210279163,59.98753766221861,0,11.72,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005168753210455179,0.002137233503162861,-0.006936289835721254,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.132,TAKEOFF,-2.1255321244017695,59.98753307906836,0,11.756,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0050711603835225105,0.0030450732447206974,-0.006283782888203859,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.164,TAKEOFF,-2.12553213763823,59.98749660379267,0,11.788,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005010075401514769,0.003711381461471319,-0.005817814730107784,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.196,TAKEOFF,-2.1255321515111674,59.987474918468216,0,11.82,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004970685578882694,0.004319558851420879,-0.005412320606410503,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.232,TAKEOFF,-2.125532166680163,59.9874614761533,0,11.856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0049447473138570786,0.004876301623880863,-0.005051991902291775,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.2640000000000002,TAKEOFF,-2.125532179758511,59.98745482531844,0,11.888,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004925468470901251,0.005385261960327625,-0.004741129465401173,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.296,TAKEOFF,-2.125532190493653,59.98744602176094,0,11.92,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0049150013364851475,0.005862402729690075,-0.004467575810849667,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.332,TAKEOFF,-2.1255322034605677,59.9874275009781,0,11.956,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004923047963529825,0.006405509077012539,-0.004168706014752388,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
3.368,TAKEOFF,-2.1255322141641337,59.98740438937202,0,11.992,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004954204428941011,0.006875202059745789,-0.003968150354921818,10.000000004412279,7.975472637938368e-08,OFFBOARD,1
