run_id,target_speed,t,x_gt,y_gt,z_gt,vx_gt,vy_gt,vz_gt,speed_gt,roll_gt,pitch_gt,yaw_gt,angular_speed_gt,tag_visible,tag_x_map_visual,tag_y_map_visual,tag_error_x_vs_gt,tag_error_y_vs_gt,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y
vehicle_motion_0p5,0.5,36.9,26.027951702887417,8.384435857045117e-08,0.04999999016044743,0.5000010024811271,-6.464474387622972e-10,-1.556886425935911e-06,0.5000010024811271,4.375180627560996e-09,-9.022651197629794e-10,-4.148147065743606e-08,2.125806598299139e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,36.952,26.053951639989098,8.382148977026202e-08,0.04999999648601694,0.499996873079289,-2.597264443598789e-10,1.5905413448913132e-06,0.499996873079289,-3.9848993679856635e-09,8.695468855297085e-10,-4.147506718975151e-08,2.12658320637169e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.004,26.07995157726647,8.379705832582722e-08,0.04999999016044743,0.5000004170877869,-6.464474390805699e-10,-1.556886425928972e-06,0.5000004170877869,4.3751806281692685e-09,-9.022651199135358e-10,-4.146793850477118e-08,2.125806599273487e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.056,26.10595148958228,8.377418952563502e-08,0.04999999648601694,0.49999666684031663,-2.597264458699269e-10,1.5905413449119634e-06,0.49999666684031663,-3.984899368603634e-09,8.695468865874987e-10,-4.1461535037085754e-08,2.126583207298489e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.112,26.13195144340113,8.374975808118762e-08,0.04999999016044743,0.5000011616602564,-6.464474393503499e-10,-1.5568864260052999e-06,0.5000011616602564,4.375180629681027e-09,-9.022651198614278e-10,-4.145440635210133e-08,2.1258065993641415e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.164,26.159951417296515,8.372428871869164e-08,0.04999999016044743,0.5000014016013714,-6.464474388251894e-10,-1.5568864259428498e-06,0.5000014016013714,4.375180630464283e-09,-9.022651205865842e-10,-4.144711980835693e-08,2.1258065992881076e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.216,26.18595138254238,8.370141991849861e-08,0.04999999648601694,0.49999773715323914,-2.5972644582757526e-10,1.590541344898252e-06,0.49999773715323914,-3.984899367593586e-09,8.695468857752267e-10,-4.144071634067145e-08,2.126583206357012e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.268,26.211951387705454,8.367698847405276e-08,0.04999999016044743,0.500002077437083,-6.464474393137157e-10,-1.556886426012072e-06,0.500002077437083,4.375180628561891e-09,-9.022651207800715e-10,-4.143358765568776e-08,2.125806598561759e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.32,26.237951403198846,8.365411967385502e-08,0.04999999648601694,0.4999987259314796,-2.5972644585002163e-10,1.5905413448843743e-06,0.4999987259314796,-3.9848993699478285e-09,8.69546886661751e-10,-4.142718418800085e-08,2.126583207216217e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.372,26.26395145558462,8.362968822941016e-08,0.04999999016044743,0.500002912294991,-6.464474393192214e-10,-1.556886426012072e-06,0.500002912294991,4.375180630805153e-09,-9.022651199711682e-10,-4.142005550301764e-08,2.125806599379282e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.424,26.28995151012607,8.360681942921313e-08,0.04999999648601694,0.4999994103175022,-2.5972644586675053e-10,1.5905413448774354e-06,0.4999994103175022,-3.984899366726643e-09,8.695468858663397e-10,-4.1413652035331125e-08,2.1265832062882415e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.476,26.3159515944412,8.358238798476962e-08,0.04999999016044743,0.5000034743073385,-6.464474393177391e-10,-1.5568864260259499e-06,0.5000034743073385,4.375180631340642e-09,-9.022651208335964e-10,-4.140652335034848e-08,2.125806599474252e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.528,26.34195167527773,8.355951918457346e-08,0.04999999648601694,0.4999998716588201,-2.5972644586823284e-10,1.5905413448706632e-06,0.4999998716588201,-3.984899368709621e-09,8.695468865319682e-10,-4.140011988266243e-08,2.126583207150136e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.58,26.36795176868951,8.353508774014042e-08,0.04999999016044743,0.5000032283449156,-6.464474385941612e-10,-1.5568864259636665e-06,0.5000032283449156,4.375180630681637e-09,-9.022651196319471e-10,-4.139299119768341e-08,2.1258065992425974e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.632,26.393951811007483,8.351221893995681e-08,0.04999999648601694,0.49999871988184313,-2.597264459014789e-10,1.5905413448359687e-06,0.49999871988184313,-3.9848993688113155e-09,8.695468867582847e-10,-4.1386587730001624e-08,2.1265832071392982e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.684,26.419951852917862,8.348778749551682e-08,0.04999999016044743,0.5000026822062761,-6.464474391161453e-10,-1.5568864260328888e-06,0.5000026822062761,4.3751806305314324e-09,-9.022651199061371e-10,-4.1379459045020404e-08,2.1258065994074317e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.736,26.445951894982805,8.346491869532256e-08,0.04999999648601694,0.49999917262979093,-2.597264458680211e-10,1.5905413448496798e-06,0.49999917262979093,-3.984899367394271e-09,8.695468856902883e-10,-4.137305557733525e-08,2.1265832070908297e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.788,26.471951945230845,8.344048725089331e-08,0.04999999016044743,0.5000024088325483,-6.46447438268477e-10,-1.5568864259775443e-06,0.5000024088325483,4.375180629545472e-09,-9.022651204753221e-10,-4.136592689235774e-08,2.125806599339185e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.84,26.497951948189257,8.341761845071114e-08,0.04999999648601694,0.49999801088329027,-2.597264458745856e-10,1.590541344815152e-06,0.49999801088329027,-3.9848993678778976e-09,8.695468857694871e-10,-4.135952342467672e-08,2.1265832070698013e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.892,26.52395193907007,8.339318700628361e-08,0.04999999016044743,0.5000014095278028,-6.464474378017619e-10,-1.5568864260330554e-06,0.5000014095278028,4.375180629939567e-09,-9.022651204972185e-10,-4.13523947396999e-08,2.125806599488171e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,37.948,26.551951926679994,8.336771764379122e-08,0.04999999016044743,0.5000017745016139,-6.464474382661477e-10,-1.5568864259775443e-06,0.5000017745016139,4.375180629450325e-09,-9.022651205399097e-10,-4.1345108195957776e-08,2.1258065993299277e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.0,26.577951900447548,8.33448488436105e-08,0.04999999648601694,0.49999751790683444,-2.597264458648447e-10,1.5905413447941687e-06,0.49999751790683444,-3.984899366253103e-09,8.695468855816879e-10,-4.1338704728277474e-08,2.1265832060524203e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.052,26.6039518673094,8.332041739918618e-08,0.04999999016044743,0.500000924594119,-6.464474381685271e-10,-1.5568864259773776e-06,0.500000924594119,4.375180628767419e-09,-9.022651206699353e-10,-4.133157604330197e-08,2.1258065984507245e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.104,26.629951800243983,8.329754859900621e-08,0.04999999648601694,0.49999679359697075,-2.597264444435234e-10,1.5905413447943353e-06,0.49999679359697075,-3.984899366054518e-09,8.695468869343046e-10,-4.1325172575622074e-08,2.12658320610828e-06,False,,,,,False,,,
